문헌번호,확인항목,상세,관련값
KR 10-2663196 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 12개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=740
KR 10-2690385 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2690385 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 9개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=390
KR 10-2702913 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2702913 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 14개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=375
KR 10-2717720 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2717720 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=379
KR 10-2635013 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2635013 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 17개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=1166
KR 10-2664962 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2664962 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=381
KR 10-2623521 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2623521 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 5개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=563
KR 10-2689533 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2689533 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 12개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=604
KR 10-2649868 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2649868 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 14개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=467
KR 10-2716524 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2716524 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=751
KR 10-2635400 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2635400 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 12개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=609
KR 10-2663989 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2663989 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 9개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=292
KR 10-2729260 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2729260 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 17개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=972
KR 10-2689814 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2689814 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 10개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=277
KR 10-2650095 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2650095 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 18개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=809
KR 10-2716678 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2635881 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2635881 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 3개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=697
KR 10-2664190 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2664190 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 3개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=217
KR 10-2731690 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2731690 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 5개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=192
KR 10-2689475 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2689475 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 20개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=2223
KR 10-2650577 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2650577 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 20개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=885
KR 10-2703076 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2703076 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 4개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=178
KR 10-2717260 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2717260 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 5개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=229
KR 10-2636181 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2636181 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 6개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=239
KR 10-2664860 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2664860 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 10개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=212
KR 10-2689651 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2689651 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 19개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=652
KR 10-2649993 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2649993 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=451
KR 10-2703179 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2703179 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=542
KR 10-2717757 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2717757 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 9개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=429
KR 10-2664348 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2664348 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 11개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=729
KR 10-2730296 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2730296 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=1002
KR 10-2623674 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2623674 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=420
KR 10-2690233 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2690233 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=225
KR 10-2650144 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2650144 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 9개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=285
KR 10-2702486 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2702486 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 3개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=166
KR 10-2717591 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2717591 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 11개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=269
KR 10-2636705 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2636705 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 3개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=238
KR 10-2663537 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2663537 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 11개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=407
KR 10-2623903 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2623903 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 14개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=985
KR 10-2650518 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2650518 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 6개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=255
KR 10-2636303 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2636303 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 12개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=686
KR 10-2664283 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2664283 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 4개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=171
KR 10-2688805 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2688805 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 22개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=1106
KR 20-0497874 Y1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 20-0497874 Y1,F2 도면별 분리 필요,figures 원소 1개에 도면 4개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=175
KR 10-2703508 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2703508 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=812
KR 10-2717088 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2717088 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 47개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=965
KR 10-2636080 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2636080 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=153
KR 10-2731005 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2731005 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=254
KR 10-2623784 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2623784 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 10개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=439
KR 10-2650616 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2650616 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 21개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=695
KR 10-2703935 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2703935 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=464
KR 10-2718131 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2718131 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 4개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=194
KR 10-2636143 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2636143 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 15개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=407
KR 10-2664709 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2664709 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 15개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=485
KR 10-2732086 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2732086 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=391
KR 10-2623924 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2623924 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=306
KR 10-2677606 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2677606 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 5개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=355
KR 10-2703406 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2703406 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 11개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=629
KR 10-2716205 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2634678 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2634678 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 5개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=228
KR 10-2664443 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2664443 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 14개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=276
KR 10-2729485 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2729485 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=273
KR 10-2624069 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2624069 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 10개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=296
KR 10-2689806 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2689806 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=225
KR 10-2648683 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2648683 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 6개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=357
KR 10-2717490 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2717490 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=235
KR 10-2636017 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2636017 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 4개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=217
KR 10-2665288 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2665288 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 5개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=198
KR 10-2623424 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2623424 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 17개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=1015
KR 10-2689260 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2689260 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 6개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=450
KR 10-2650076 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2650076 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 228개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=27262
KR 10-2715775 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2715775 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 6개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=354
KR 10-2689233 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2689233 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 5개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=372
KR 10-2649282 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2649282 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 4개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=113
KR 10-2703433 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2703433 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 6개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=739
KR 10-2635711 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2635711 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 6개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=310
KR 10-2664940 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2730751 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2730751 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 11개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=560
KR 10-2622934 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2622934 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 15개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=606
KR 10-2689831 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2689831 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 13개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=447
KR 10-2650050 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2650050 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 13개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=466
KR 10-2716593 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2716593 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 10개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=726
KR 10-2702568 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2702568 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 22개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=698
KR 10-2717789 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2717789 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 11개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=336
KR 10-2636427 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2636427 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 13개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=646
KR 10-2664113 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2664113 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 4개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=144
KR 10-2622442 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2622442 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=257
KR 10-2689948 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2689948 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 11개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=684
KR 10-2649615 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2649615 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=457
KR 10-2704175 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2704175 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 12개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=400
KR 10-2715695 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2715695 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 55개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=556
KR 10-2637022 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2637022 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 8개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=660
