문헌번호,오류유형,상세,관련값
KR 10-2650093 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7224452 B2 / JP 07224452 B2
KR 10-2731456 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4316662 A1 / EP 04316662 A1
KR 10-2650550 B1,E9 섹션파싱누락,effect_of_invention 가 비었는데 전문에 해당 표제가 있음,표제 매칭='발명의\s*효과'
KR 10-2650550 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7046980 B2 / JP 07046980 B2
KR 10-2690318 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -4),claim_count=2 claims=7 삭제=1 실질=6
KR 10-2692169 B1,E13 패밀리중복,동일 문헌이 표기만 달라 3쌍 중복 적재,US 09956227 B2 / US 9956227 B2 / EP 3666271 A1 / EP 03666271 A1
KR 10-2731421 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7256102 B2 / JP 07256102 B2
KR 10-2665043 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,EP 3823476 A1 / EP 03823476 A1 / JP 7179879 B2 / JP 07179879 B2
KR 10-2650189 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -7),claim_count=10 claims=20 삭제=3 실질=17
KR 10-2650600 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3826594 A1 / EP 03826594 A1
KR 10-2716761 B1,E9 섹션파싱누락,effect_of_invention 가 비었는데 전문에 해당 표제가 있음,표제 매칭='발명의\s*효과'
KR 10-2637589 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4330900 A1 / EP 04330900 A1
KR 10-2633734 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -2),claim_count=1 claims=6 삭제=3 실질=3
KR 10-2716853 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7397699 B2 / JP 07397699 B2
KR 10-2636973 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4177380 A2 / EP 04177380 A2
KR 10-2650760 B1,E9 섹션파싱누락,effect_of_invention 가 비었는데 전문에 해당 표제가 있음,표제 매칭='발명의\s*효과'
KR 10-2650760 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 6772401 B2 / JP 06772401 B2
KR 10-2636348 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3362084 A1 / EP 03362084 A1
KR 10-2652261 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3333925 A1 / EP 03333925 A1
KR 10-2716864 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4052334 A1 / EP 04052334 A1
KR 10-2638167 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,EP 3733604 A1 / EP 03733604 A1 / JP 7239492 B2 / JP 07239492 B2
KR 10-2665867 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,JP 6791874 B2 / EP 3991848 A2 / EP 03991848 A2 / JP 06791874 B2
KR 10-2718682 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 6937644 B2 / JP 06937644 B2
KR 10-2637135 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3424191 B1 / EP 03424191 B1
KR 10-2717911 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7408794 B2 / JP 07408794 B2
