문헌번호,문헌종류,문헌종류(표기안),권리상태,발명의 명칭,오류 합계,원본오류 코드,원본오류 내용,표시오류 종수,표시오류 코드,표시오류 내용(문헌별 값),도면 보류(오류 아님)
KR 10-2702860 B1,B1,등록특허공보,등록공고,대체 광고를 재생하는 디스플레이 장치 및 그 디스플레이 장치의 제어 방법,13,E13 E4,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3361745 A1 / EP 03361745 A1) / [E4] claim_count(10) ≠ 삭제 제외 실질 항 수(16) · claims 20 · 삭제 4,11,D1 D3 D7 D2 D5 D6 D12 D8 D8c D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 23022자 = 전문 20569 + 하위섹션 2562) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 10개 ↔ 청구범위 목록 20개(삭제 4) 불일치 / [D8] 독립항 목록 20개 중 4개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 4 → 독립/전체 토글 결과 동일(20개) / [D4] 공개번호(10-2018-0093702)와 표시 일자(2024-09-05) 계열 불일치 · 문헌일 2018-08-22 / [D10] 패밀리 목록 6행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 5개 뭉침
KR 10-2624133 B1,B1,등록특허공보,등록공고,보안 멀티캐스트/브로드캐스트 레인징,12,E13 E9,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3651410 A1 / EP 03651410 A1) / [E9] 하위섹션 '기술분야'(technology_field) 비었는데 전문에 표제 존재,10,D1 D3 D7 D2 D5 D6 D12 D8 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 14254자 = 전문 13865 + 하위섹션 581) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 20개 ↔ 청구범위 목록 22개(삭제 2) 불일치 / [D8] 독립항 목록 5개 중 2개가 본문 '삭제' / [D4] 공개번호(10-2022-0129518)와 표시 일자(2024-01-11) 계열 불일치 · 문헌일 2022-09-23 / [D10] 패밀리 목록 9행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 5개 뭉침
KR 10-2648993 B1,B1,등록특허공보,등록공고,사용자의 감정 상태에 기반하여 아바타를 제공하기 위한 전자 장치 및 그에 관한 방법,12,E13 E4,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3871195 A1 / EP 03871195 A1) / [E4] claim_count(10) ≠ 삭제 제외 실질 항 수(12) · claims 20 · 삭제 8,10,D1 D3 D7 D2 D5 D6 D12 D8 D8c D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 39820자 = 전문 39146 + 하위섹션 3653) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 10개 ↔ 청구범위 목록 20개(삭제 8) 불일치 / [D8] 독립항 목록 20개 중 8개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 8 → 독립/전체 토글 결과 동일(20개) / [D10] 패밀리 목록 4행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 13개 뭉침
KR 10-2691020 B1,B1,등록특허공보,등록공고,일과 생활에 대한 정보를 제공하기 위한 전자 장치 및 방법,12,E13 E4,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3500989 A1 / EP 03500989 A1) / [E4] claim_count(20) ≠ 삭제 제외 실질 항 수(21) · claims 25 · 삭제 4,10,D1 D3 D7 D2 D5 D6 D12 D8 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 49112자 = 전문 46730 + 하위섹션 2681) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 20개 ↔ 청구범위 목록 25개(삭제 4) 불일치 / [D8] 독립항 목록 7개 중 4개가 본문 '삭제' / [D4] 공개번호(10-2018-0020745)와 표시 일자(2024-08-01) 계열 불일치 · 문헌일 2018-02-28 / [D10] 패밀리 목록 7행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 20개 뭉침
KR 10-2635013 B1,B1,등록특허공보,등록공고,ＪＡＫ 저해제에 대한 국소 제형,11,E13 E14,[E13] 패밀리 동일 문헌 2쌍 중복 적재 (EP 3087972 A1 / EP 03087972 A1 / JP 6657441 B2 / JP 06657441 B2) / [E14] 명칭에 전각 영숫자 — 'ＪＡＫ 저해제에 대한 국소 제형',9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 47012자 = 전문 48464 + 하위섹션 5385) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 18개 ↔ 청구범위 목록 82개(삭제 64) 불일치 / [D8] 독립항 목록 65개 중 64개가 본문 '삭제' / [D10] 패밀리 목록 79행 중 2행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 17개 뭉침
KR 10-2650550 B1,B1,등록특허공보,연차료납부,"입자 혼합체, 그것을 사용한 광산란성 향상 방법, 그리고 그것을 포함하는 광산란 부재 및 광학 디바이스",11,E13 E9,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (JP 7046980 B2 / JP 07046980 B2) / [E9] 하위섹션 '발명의 효과'(effect_of_invention) 비었는데 전문에 표제 존재,9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 21767자 = 전문 23041 + 하위섹션 1519) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 7개 ↔ 청구범위 목록 14개(삭제 7) 불일치 / [D8] 독립항 목록 8개 중 7개가 본문 '삭제' / [D10] 패밀리 목록 7행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유)
KR 10-2620102 B1,B1,등록특허공보,등록공고,페로브스카이트 물질 디바이스에서의 이중- 및 삼중-층 계면 층,10,E13 E9,[E13] 패밀리 동일 문헌 2쌍 중복 적재 (EP 3706181 A1 / EP 03706181 A1 / EP 4422379 A2 / EP 04422379 A2) / [E9] 하위섹션 '기술분야'(technology_field) 비었는데 전문에 표제 존재,8,D1 D3 D7 D2 D5 D6 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 53987자 = 전문 53564 + 하위섹션 1101) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D4] 공개번호(10-2023-0044328)와 표시 일자(2024-01-03) 계열 불일치 · 문헌일 2023-04-03 / [D10] 패밀리 목록 119행 중 2행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 13개 뭉침
KR 10-2638059 B1,B1,등록특허공보,등록공고,"시멘트용 첨가제, 시멘트 혼화제, 시멘트 조성물, 성형체, 및 성형체의 강도 향상 방법",10,E13 E9,[E13] 패밀리 동일 문헌 2쌍 중복 적재 (JP 6959475 B2 / EP 3954667 A1 / EP 03954667 A1 / JP 06959475 B2) / [E9] 하위섹션 '발명의 효과'(effect_of_invention) 비었는데 전문에 표제 존재,8,D1 D3 D7 D2 D5 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 49214자 = 전문 52464 + 하위섹션 1689) / [D12] 서지 청구항 수 15개 ↔ 청구범위 목록 17개(삭제 2) 불일치 / [D8] 독립항 목록 4개 중 2개가 본문 '삭제' / [D10] 패밀리 목록 8행 중 2행이 동일 문헌 중복 노출,
KR 10-2650760 B1,B1,등록특허공보,등록공고,피복 입자,9,E13 E9,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (JP 6772401 B2 / JP 06772401 B2) / [E9] 하위섹션 '발명의 효과'(effect_of_invention) 비었는데 전문에 표제 존재,7,D1 D3 D7 D2 D5 D6 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 40287자 = 전문 44126 + 하위섹션 1774) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D10] 패밀리 목록 7행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유)
KR 10-2620334 B1,B1,등록특허공보,등록공고,점착 시트 및 표시체,12,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (JP 6727786 B2 / JP 06727786 B2),11,D1 D3 D7 D2 D5 D6 D12 D8 D8c D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 53547자 = 전문 50045 + 하위섹션 4088) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 2개 ↔ 청구범위 목록 10개(삭제 8) 불일치 / [D8] 독립항 목록 10개 중 8개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 8 → 독립/전체 토글 결과 동일(10개) / [D4] 공개번호(10-2017-0045117)와 표시 일자(2024-01-02) 계열 불일치 · 문헌일 2017-04-26 / [D10] 패밀리 목록 5행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유)
KR 10-2705608 B1,B1,등록특허공보,등록공고,표시 장치 및 이 표시 장치를 구비한 전자 기기,12,E13,[E13] 패밀리 동일 문헌 3쌍 중복 적재 (US 09520411 B2 / JP 6313357 B2 / JP 7149397 B2 / JP 06313357 B2),11,D1 D3 D7 D2 D5 D6 D12 D8 D8c D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 94192자 = 전문 90704 + 하위섹션 5682) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 2개 ↔ 청구범위 목록 3개(삭제 1) 불일치 / [D8] 독립항 목록 3개 중 1개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 1 → 독립/전체 토글 결과 동일(3개) / [D4] 공개번호(10-2023-0107711)와 표시 일자(2024-09-11) 계열 불일치 · 문헌일 2023-07-17 / [D10] 패밀리 목록 65행 중 3행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 43개 뭉침
KR 10-2715869 B1,B1,등록특허공보,등록공고,배터리 진단 장치 및 방법,12,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3958006 A1 / EP 03958006 A1),11,D1 D3 D7 D2 D5 D6 D12 D8 D8c D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 13154자 = 전문 10855 + 하위섹션 2488) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 8개 ↔ 청구범위 목록 10개(삭제 2) 불일치 / [D8] 독립항 목록 10개 중 2개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 2 → 독립/전체 토글 결과 동일(10개) / [D4] 공개번호(10-2021-0031336)와 표시 일자(2024-10-14) 계열 불일치 · 문헌일 2021-03-19 / [D10] 패밀리 목록 8행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 6개 뭉침
KR 10-2718623 B1,B1,등록특허공보,등록공고,"유기 금속 착체, 발광 소자, 발광 장치, 전자 기기, 및 조명 장치",12,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (JP 7029953 B2 / JP 07029953 B2),11,D1 D3 D7 D2 D5 D6 D12 D8 D8c D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 126262자 = 전문 117928 + 하위섹션 10677) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 5개 ↔ 청구범위 목록 24개(삭제 19) 불일치 / [D8] 독립항 목록 24개 중 19개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 19 → 독립/전체 토글 결과 동일(24개) / [D4] 공개번호(10-2023-0107912)와 표시 일자(2024-10-16) 계열 불일치 · 문헌일 2023-07-18 / [D10] 패밀리 목록 12행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 56개 뭉침
KR 10-2718756 B1,B1,등록특허공보,등록공고,수직축 다단 풍력발전기,12,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 4386199 A2 / EP 04386199 A2),11,D1 D3 D7 D2 D5 D6 D12 D8 D8c D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 22128자 = 전문 18024 + 하위섹션 4650) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 2개 ↔ 청구범위 목록 8개(삭제 6) 불일치 / [D8] 독립항 목록 8개 중 6개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 6 → 독립/전체 토글 결과 동일(8개) / [D4] 공개번호(10-2024-0076037)와 표시 일자(2024-10-18) 계열 불일치 · 문헌일 2024-05-30 / [D10] 패밀리 목록 6행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 17개 뭉침
KR 10-2620289 B1,B1,등록특허공보,등록공고,반도체 장치 및 전자 장치,11,E13,[E13] 패밀리 동일 문헌 2쌍 중복 적재 (JP 6745924 B2 / JP 7395639 B2 / JP 06745924 B2 / JP 07395639 B2),10,D1 D3 D7 D2 D5 D6 D12 D8 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 57854자 = 전문 52493 + 하위섹션 6477) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 15개 ↔ 청구범위 목록 25개(삭제 10) 불일치 / [D8] 독립항 목록 12개 중 10개가 본문 '삭제' / [D4] 공개번호(10-2022-0074841)와 표시 일자(2024-01-03) 계열 불일치 · 문헌일 2022-06-03 / [D10] 패밀리 목록 51행 중 2행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 32개 뭉침
KR 10-2620623 B1,B1,등록특허공보,등록공고,홀더 가이딩 조립체 및 접촉기를 갖는 모듈식 차단 유닛,11,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3940737 A1 / EP 03940737 A1),10,D1 D3 D7 D2 D5 D6 D12 D8 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 7318자 = 전문 6678 + 하위섹션 781) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 9개 ↔ 청구범위 목록 10개(삭제 1) 불일치 / [D8] 독립항 목록 2개 중 1개가 본문 '삭제' / [D4] 공개번호(10-2022-0009912)와 표시 일자(2024-01-03) 계열 불일치 · 문헌일 2022-01-25 / [D10] 패밀리 목록 4행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 5개 뭉침
KR 10-2622804 B1,B1,등록특허공보,등록공고,오디오 신호의 고주파 재구성을 위한 하모닉 트랜스포저의 하위호환형 통합,11,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (JP 6665354 B2 / JP 06665354 B2),10,D1 D3 D7 D2 D5 D6 D12 D8 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 56250자 = 전문 57801 + 하위섹션 2318) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 13개 ↔ 청구범위 목록 15개(삭제 2) 불일치 / [D8] 독립항 목록 4개 중 2개가 본문 '삭제' / [D4] 공개번호(10-2022-0054712)와 표시 일자(2024-01-10) 계열 불일치 · 문헌일 2022-05-03 / [D10] 패밀리 목록 69행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 7개 뭉침
KR 10-2623784 B1,B1,등록특허공보,등록공고,발광 시간의 제어가 가능한 ＬＥＤ 픽셀 패키지,11,E14,[E14] 명칭에 전각 영숫자 — '발광 시간의 제어가 가능한 ＬＥＤ 픽셀 패키지',10,D1 D3 D7 D2 D5 D6 D12 D8 D8c D4,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 16605자 = 전문 12565 + 하위섹션 4224) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 1개 ↔ 청구범위 목록 5개(삭제 4) 불일치 / [D8] 독립항 목록 5개 중 4개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 4 → 독립/전체 토글 결과 동일(5개) / [D4] 공개번호(10-2023-0001717)와 표시 일자(2024-01-10) 계열 불일치 · 문헌일 2023-01-05,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 10개 뭉침
KR 10-2623895 B1,B1,등록특허공보,등록공고,유기 발광 소자,11,E13,[E13] 패밀리 동일 문헌 2쌍 중복 적재 (EP 4235830 A1 / EP 04235830 A1 / EP 4243102 A1 / EP 04243102 A1),10,D1 D3 D7 D2 D5 D6 D12 D8 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 81385자 = 전문 80879 + 하위섹션 1778) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 8개 ↔ 청구범위 목록 9개(삭제 1) 불일치 / [D8] 독립항 목록 2개 중 1개가 본문 '삭제' / [D4] 공개번호(10-2022-0147537)와 표시 일자(2024-01-11) 계열 불일치 · 문헌일 2022-11-03 / [D10] 패밀리 목록 12행 중 2행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유)
KR 10-2624113 B1,B1,등록특허공보,등록공고,발광 소자 패키지 및 이의 제조 방법,11,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3806172 A1 / EP 03806172 A1),10,D1 D3 D7 D2 D5 D6 D12 D8 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 23271자 = 전문 21016 + 하위섹션 2530) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 24개 ↔ 청구범위 목록 25개(삭제 1) 불일치 / [D8] 독립항 목록 5개 중 1개가 본문 '삭제' / [D4] 공개번호(10-2019-0139371)와 표시 일자(2024-01-12) 계열 불일치 · 문헌일 2019-12-18 / [D10] 패밀리 목록 11행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 6개 뭉침
KR 10-2624975 B1,B1,등록특허공보,등록공고,내연기관용 점화 플러그,11,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (JP 7254609 B2 / JP 07254609 B2),10,D1 D3 D7 D2 D5 D6 D12 D8 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 8663자 = 전문 6276 + 하위섹션 2618) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 9개 ↔ 청구범위 목록 10개(삭제 1) 불일치 / [D8] 독립항 목록 3개 중 1개가 본문 '삭제' / [D4] 공개번호(10-2019-0127569)와 표시 일자(2024-01-12) 계열 불일치 · 문헌일 2019-11-13 / [D10] 패밀리 목록 4행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유)
KR 10-2625014 B1,B1,등록특허공보,등록공고,가려진 물체의 조작 도움,11,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (JP 7234026 B2 / JP 07234026 B2),10,D1 D3 D7 D2 D5 D6 D12 D8 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 28901자 = 전문 23836 + 하위섹션 5235) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 10개 ↔ 청구범위 목록 12개(삭제 2) 불일치 / [D8] 독립항 목록 4개 중 2개가 본문 '삭제' / [D4] 공개번호(10-2019-0128988)와 표시 일자(2024-01-12) 계열 불일치 · 문헌일 2019-11-19 / [D10] 패밀리 목록 5행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 7개 뭉침
KR 10-2636427 B1,B1,등록특허공보,등록공고,기판 처리 방법 및 장치,11,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (JP 7250442 B2 / JP 07250442 B2),10,D1 D3 D7 D2 D5 D6 D12 D8 D8c D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 34837자 = 전문 33120 + 하위섹션 4797) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 18개 ↔ 청구범위 목록 20개(삭제 2) 불일치 / [D8] 독립항 목록 20개 중 2개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 2 → 독립/전체 토글 결과 동일(20개) / [D10] 패밀리 목록 7행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 13개 뭉침
KR 10-2636973 B1,B1,등록특허공보,등록공고,"막 전극 접합체, 수소 제조 장치, 촉매 잉크의 제조 방법, 및 막 전극 접합체의 제조 방법",11,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 4177380 A2 / EP 04177380 A2),10,D1 D3 D7 D2 D5 D6 D12 D8 D8c D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 16526자 = 전문 15305 + 하위섹션 3581) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 8개 ↔ 청구범위 목록 10개(삭제 2) 불일치 / [D8] 독립항 목록 10개 중 2개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 2 → 독립/전체 토글 결과 동일(10개) / [D10] 패밀리 목록 5행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 6개 뭉침
KR 10-2637135 B1,B1,등록특허공보,등록공고,고성능 컴퓨팅 환경에서 듀얼 포트 가상 라우터를 지원하기 위한 시스템 및 방법,11,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3424191 B1 / EP 03424191 B1),10,D1 D3 D7 D2 D5 D6 D12 D8 D8c D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 36773자 = 전문 38206 + 하위섹션 1153) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 19개 ↔ 청구범위 목록 22개(삭제 3) 불일치 / [D8] 독립항 목록 22개 중 3개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 3 → 독립/전체 토글 결과 동일(22개) / [D10] 패밀리 목록 17행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 13개 뭉침
KR 10-2639239 B1,B1,등록특허공보,등록공고,표시 장치,11,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (JP 5985878 B2 / JP 05985878 B2),10,D1 D3 D7 D2 D5 D6 D12 D8 D8c D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 53562자 = 전문 52886 + 하위섹션 5455) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 1개 ↔ 청구범위 목록 2개(삭제 1) 불일치 / [D8] 독립항 목록 2개 중 1개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 1 → 독립/전체 토글 결과 동일(2개) / [D10] 패밀리 목록 37행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 29개 뭉침
KR 10-2649798 B1,B1,등록특허공보,등록공고,압전 필름,11,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3993439 A1 / EP 03993439 A1),10,D1 D3 D7 D2 D5 D6 D12 D8 D8c D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 44017자 = 전문 47567 + 하위섹션 3510) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 8개 ↔ 청구범위 목록 9개(삭제 1) 불일치 / [D8] 독립항 목록 9개 중 1개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 1 → 독립/전체 토글 결과 동일(9개) / [D10] 패밀리 목록 9행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 14개 뭉침
KR 10-2650803 B1,B1,등록특허공보,등록공고,NK 세포 및 항-PDL1 암 요법과 관련된 방법 및 조성물,11,E13,[E13] 패밀리 동일 문헌 2쌍 중복 적재 (EP 3523416 A1 / EP 03523416 A1 / JP 7239179 B2 / JP 07239179 B2),10,D1 D3 D7 D2 D5 D6 D12 D8 D8c D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 46641자 = 전문 44933 + 하위섹션 4389) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 8개 ↔ 청구범위 목록 31개(삭제 23) 불일치 / [D8] 독립항 목록 31개 중 23개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 23 → 독립/전체 토글 결과 동일(31개) / [D10] 패밀리 목록 18행 중 2행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 9개 뭉침
KR 10-2652004 B1,B1,등록특허공보,등록공고,"헤테로 고리 화합물, 이를 포함하는 유기 발광 소자, 이의 제조방법 및 유기물층용 조성물",11,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 4261207 A1 / EP 04261207 A1),10,D1 D3 D7 D2 D5 D6 D12 D8 D4 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 57798자 = 전문 56283 + 하위섹션 3986) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 13개 ↔ 청구범위 목록 16개(삭제 3) 불일치 / [D8] 독립항 목록 4개 중 3개가 본문 '삭제' / [D4] 공개번호(10-2022-0082398)와 표시 일자(2024-03-27) 계열 불일치 · 문헌일 2022-06-17 / [D10] 패밀리 목록 9행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유)
