문헌번호,문헌종류,문헌종류(표기안),권리상태,발명의 명칭,오류 합계,원본오류 코드,원본오류 내용,표시오류 종수,표시오류 코드,표시오류 내용(문헌별 값),도면 보류(오류 아님)
KR 10-2635881 B1,B1,등록특허공보,등록공고,금속 용융 도금 코팅의 개선된 접착을 갖는 강 스트립을 제조하는 방법,10,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3749793 B1 / EP 03749793 B1),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 12854자 = 전문 7733 + 하위섹션 6311) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 13개 ↔ 청구범위 목록 15개(삭제 2) 불일치 / [D8] 독립항 목록 3개 중 2개가 본문 '삭제' / [D10] 패밀리 목록 7행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 3개 뭉침
KR 10-2635891 B1,B1,등록특허공보,등록공고,세션 기반 DASH 동작들을 위한 패턴 주소 지정,10,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 4088417 A1 / EP 04088417 A1),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 26318자 = 전문 27400 + 하위섹션 1426) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 14개 ↔ 청구범위 목록 20개(삭제 6) 불일치 / [D8] 독립항 목록 9개 중 6개가 본문 '삭제' / [D10] 패밀리 목록 11행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 4개 뭉침
KR 10-2636348 B1,B1,등록특허공보,등록공고,경장 급식 기기 및 관련된 사용 방법,10,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3362084 A1 / EP 03362084 A1),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 181308자 = 전문 179015 + 하위섹션 12921) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 37개 ↔ 청구범위 목록 38개(삭제 1) 불일치 / [D8] 독립항 목록 15개 중 1개가 본문 '삭제' / [D10] 패밀리 목록 25행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 75개 뭉침
KR 10-2636361 B1,B1,등록특허공보,등록공고,배터리 제어 장치 및 배터리 제어 시스템,10,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3190803 A1 / EP 03190803 A1),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 23572자 = 전문 22808 + 하위섹션 3585) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 17개 ↔ 청구범위 목록 20개(삭제 3) 불일치 / [D8] 독립항 목록 6개 중 3개가 본문 '삭제' / [D10] 패밀리 목록 7행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 10개 뭉침
KR 10-2636588 B1,B1,등록특허공보,등록공고,무선 회로부 감도 저하 검출,10,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 4152623 A1 / EP 04152623 A1),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 33702자 = 전문 34901 + 하위섹션 853) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 19개 ↔ 청구범위 목록 20개(삭제 1) 불일치 / [D8] 독립항 목록 4개 중 1개가 본문 '삭제' / [D10] 패밀리 목록 5행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 7개 뭉침
KR 10-2636878 B1,B1,등록특허공보,등록공고,라이다 수신 유닛,10,E13,[E13] 패밀리 동일 문헌 2쌍 중복 적재 (JP 7338904 B2 / EP 3994496 A1 / EP 03994496 A1 / JP 07338904 B2),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 16668자 = 전문 12793 + 하위섹션 5725) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 8개 ↔ 청구범위 목록 10개(삭제 2) 불일치 / [D8] 독립항 목록 3개 중 2개가 본문 '삭제' / [D10] 패밀리 목록 11행 중 2행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 4개 뭉침
KR 10-2637047 B1,B1,등록특허공보,등록공고,가상 아이템을 마킹하기 위한 가상 객체의 제어 방법 및 장치와 매체,10,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3925678 A1 / EP 03925678 A1),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 59451자 = 전문 61809 + 하위섹션 1893) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 15개 ↔ 청구범위 목록 31개(삭제 16) 불일치 / [D8] 독립항 목록 18개 중 16개가 본문 '삭제' / [D10] 패밀리 목록 11행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 15개 뭉침
KR 10-2637589 B1,B1,등록특허공보,등록공고,"로봇을 이용하여 광고 콘텐츠를 제공하기 위한 방법, 시스템 및 비일시성의 컴퓨터 판독 가능 기록 매체",10,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 4330900 A1 / EP 04330900 A1),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 24422자 = 전문 23375 + 하위섹션 2956) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 13개 ↔ 청구범위 목록 19개(삭제 6) 불일치 / [D8] 독립항 목록 8개 중 6개가 본문 '삭제' / [D10] 패밀리 목록 6행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 6개 뭉침
KR 10-2637928 B1,B1,등록특허공보,등록공고,"경화성 수지 조성물, 경화막, 적층체, 경화막의 제조 방법, 및, 반도체 디바이스",10,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (JP 7177249 B2 / JP 07177249 B2),9,D1 D3 D7 D2 D5 D12 D8 D8c D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 96517자 = 전문 108124 + 하위섹션 4386) / [D12] 서지 청구항 수 19개 ↔ 청구범위 목록 21개(삭제 2) 불일치 / [D8] 독립항 목록 21개 중 2개가 본문 '삭제' / [D8c] 종속항 0 · 삭제항 2 → 독립/전체 토글 결과 동일(21개) / [D10] 패밀리 목록 4행 중 1행이 동일 문헌 중복 노출,
KR 10-2638125 B1,B1,등록특허공보,등록공고,네트워크 온 칩에서의 종단간 서비스 품질,10,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3747170 B1 / EP 03747170 B1),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 20271자 = 전문 20217 + 하위섹션 1392) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 10개 ↔ 청구범위 목록 13개(삭제 3) 불일치 / [D8] 독립항 목록 5개 중 3개가 본문 '삭제' / [D10] 패밀리 목록 8행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 10개 뭉침
KR 10-2638189 B1,B1,등록특허공보,등록공고,열공급장치,10,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 4124801 A1 / EP 04124801 A1),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 14812자 = 전문 11846 + 하위섹션 5071) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 9개 ↔ 청구범위 목록 14개(삭제 5) 불일치 / [D8] 독립항 목록 6개 중 5개가 본문 '삭제' / [D10] 패밀리 목록 2행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 6개 뭉침
KR 10-2639059 B1,B1,등록특허공보,등록공고,이색 필터들을 사용하는 도파관들에서의 컬러 분리,10,E13,[E13] 패밀리 동일 문헌 3쌍 중복 적재 (EP 3559731 A1 / EP 03559731 A1 / JP 7039598 B2 / EP 3893041 A1),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 28321자 = 전문 28237 + 하위섹션 1489) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 9개 ↔ 청구범위 목록 27개(삭제 18) 불일치 / [D8] 독립항 목록 19개 중 18개가 본문 '삭제' / [D10] 패밀리 목록 23행 중 3행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 16개 뭉침
KR 10-2648725 B1,B1,등록특허공보,등록공고,지혈 클립 전개,10,E13,[E13] 패밀리 동일 문헌 2쌍 중복 적재 (JP 7230229 B2 / EP 3975879 A1 / EP 03975879 A1 / JP 07230229 B2),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 19204자 = 전문 19440 + 하위섹션 814) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 10개 ↔ 청구범위 목록 15개(삭제 5) 불일치 / [D8] 독립항 목록 6개 중 5개가 본문 '삭제' / [D10] 패밀리 목록 12행 중 2행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 11개 뭉침
KR 10-2649083 B1,B1,등록특허공보,등록공고,"검사 장치용 지그, 검사 장치, 검사 세트 및 이를 이용하는 대상물 검사 방법",10,E13,[E13] 패밀리 동일 문헌 2쌍 중복 적재 (JP 7246497 B2 / EP 3916340 A1 / EP 03916340 A1 / JP 07246497 B2),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 38924자 = 전문 37309 + 하위섹션 5572) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 18개 ↔ 청구범위 목록 20개(삭제 2) 불일치 / [D8] 독립항 목록 5개 중 2개가 본문 '삭제' / [D10] 패밀리 목록 17행 중 2행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 28개 뭉침
KR 10-2649379 B1,B1,등록특허공보,등록공고,고휘도 레이저로 생성된 플라즈마 광원,10,E13,[E13] 패밀리 동일 문헌 2쌍 중복 적재 (JP 3238566 U / EP 3959945 A1 / EP 03959945 A1 / JP 03238566 U),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 38427자 = 전문 33435 + 하위섹션 10045) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 21개 ↔ 청구범위 목록 33개(삭제 12) 불일치 / [D8] 독립항 목록 13개 중 12개가 본문 '삭제' / [D10] 패밀리 목록 40행 중 2행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 16개 뭉침
KR 10-2649411 B1,B1,등록특허공보,등록공고,밸브 샤프트 잠금 기구,10,E13,[E13] 패밀리 동일 문헌 1쌍 중복 적재 (EP 3997368 A1 / EP 03997368 A1),9,D1 D3 D7 D2 D5 D6 D12 D8 D10,[D5] 상세설명에 하위섹션+전문 중복 렌더(섹션 10318자 = 전문 7137 + 하위섹션 4095) / [D6] 도면 미반입인데 패널 노출(서지 도면 수 0건 / 패널 캡션 1개 · 이미지 없음) / [D12] 서지 청구항 수 8개 ↔ 청구범위 목록 9개(삭제 1) 불일치 / [D8] 독립항 목록 2개 중 1개가 본문 '삭제' / [D10] 패밀리 목록 18행 중 1행이 동일 문헌 중복 노출,[F1] drawing_count 0 (도면의 설명 1원소 보유) [F2] 도면 설명 1원소에 도 4개 뭉침
